"","id","session","query","annotation","query_state"
"27",27,"yahoo-13","yahoo! profile","[[\http://dbpedia.org/resource/User_profile\""]]""","WS"
"30",30,"yahoo-13","presidents email","[[\http://dbpedia.org/resource/President_of_the_United_States\""] [\""http://dbpedia.org/resource/Email_address\""]]""","WS"
"31",31,"yahoo-13","presidents elected","[[\http://dbpedia.org/resource/President_of_the_United_States\""] [\""http://dbpedia.org/resource/United_States_presidential_election\""]]""","WS"
"39",39,"yahoo-13","yahoo mail plus","[[\http://dbpedia.org/resource/Yahoo!_Mail\""]]""","WS"
"51",51,"yahoo-18","texas fishing license age","[[\http://dbpedia.org/resource/Texas\""]]""","WS"
"55",55,"yahoo-20","jc penney curtains","[[\http://dbpedia.org/resource/J._C._Penney\]  [\""http://dbpedia.org/resource/Curtain\""]]""","WS"
"115",115,"yahoo-67","cyndi lauper all through the night","[[\http://dbpedia.org/resource/Cyndi_Lauper\""] [\""http://dbpedia.org/resource/All_Through_the_Night_(Cyndi_Lauper_song)\""]]""","WS"
"118",118,"yahoo-67","always something there to remind me lyrics","[[\http://dbpedia.org/resource/(There's)_Always_Something_There_to_Remind_Me\""] [\""http://dbpedia.org/resource/Lyrics\""]""","WS"
"138",138,"yahoo-74","homemade pizza recipes","[[\http://dbpedia.org/resource/Pizza\""] [\""http://dbpedia.org/resource/Recipe\""]]""","WS"
"139",139,"yahoo-74","homemade potato chips","[[\http://dbpedia.org/resource/Potato_chip\""]]""","WS"
"140",140,"yahoo-74","homemade pork sausage","[[\http://dbpedia.org/resource/Sausage\""]]""","WS"
"146",146,"yahoo-78","adobe pdf converter","[[\http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""]]""","WS"
"148",148,"yahoo-78","adobe pdf converter downloads","[[\http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""] [\""http://dbpedia.org/resource/Download\""]]""","WS"
"149",149,"yahoo-78","free adobe pdf converter","[[\http://dbpedia.org/resource/Gratis\""] [\""http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""]]""","WS"
"152",152,"yahoo-78","adobe pdf converter driver","[[\http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""] [\""http://dbpedia.org/resource/Device_driver\""]]""","WS"
"153",153,"yahoo-78","adobe pdf converter to word","[[\http://dbpedia.org/resource/Adobe_Systems\""] [\""http://dbpedia.org/resource/Portable_Document_Format\""] [\""http://dbpedia.org/resource/Data_conversion\""] [\""http://dbpedia.org/resource/Microsoft_Word\""]]""","WS"
"156",156,"yahoo-78","google search","[[\http://dbpedia.org/resource/Google_Search\""]]""","WS"
"159",159,"yahoo-78","paradigm mall facebook","[[\http://dbpedia.org/resource/Facebook\""]]""","WS"
"160",160,"yahoo-78","paradigm mall gsc","[[\http://dbpedia.org/resource/Golden_Screen_Cinemas\""]]""","WS"
"161",161,"yahoo-78","paradigm mall kuala lumpur","[[\http://dbpedia.org/resource/Kuala_Lumpur\""]]""","WS"
"162",162,"yahoo-78","paradigm mall malaysia","[[\http://dbpedia.org/resource/Malaysia\""]]""","WS"
"176",176,"yahoo-84","tim burton corpse bride","[[\http://dbpedia.org/resource/Tim_Burton\""] [\""http://dbpedia.org/resource/Corpse_Bride\""]]""","WS"
