id;session;query;annotation;query_state
1;yahoo-1;gemini compatibility;"[[""http://dbpedia.org/resource/Gemini_(astrology)""] [""http://http://dbpedia.org/resource/Astrological_compatibility""]]";IS
2;yahoo-1;amazon;"[[""http://dbpedia.org/resource/Amazon.com""]]";NW
3;yahoo-1;dancing with the stars;"[[\""http://dbpedia.org/resource/Dancing_with_the_Stars""]]";NW
4;yahoo-1;nurses sue douglas kennedy;"[[""http://dbpedia.org/resource/Nursing""] [""http://dbpedia.org/resource/Lawsuit""] [""http://dbpedia.org/resource/Douglas_Harriman_Kennedy""]]";NW
5;yahoo-1;aetna;"[[""http://dbpedia.org/resource/Aetna""]]";RE
6;yahoo-2;does rye bread have wheat in it;"[[http://dbpedia.org/resource/Rye_bread""] [""http://dbpedia.org/resource/Wheat""]]";IS
7;yahoo-3;nordstrom;"[[""http://dbpedia.org/resource/Nordstrom""]]";IS
8;yahoo-4;reverbnation;"[[""http://dbpedia.org/resource/ReverbNation""]]";IS
9;yahoo-5;skype;"[[""http://dbpedia.org/resource/Skype""]]";IS
10;yahoo-5;skype for mac;"[[""http://dbpedia.org/resource/Skype""]  [""http://dbpedia.org/resource/Mac_OS""]]";SC
11;yahoo-6;louisville courier journal;"[[""http://dbpedia.org/resource/The_Courier-Journal""]]";IS
12;yahoo-6;ncaa football scores;"[[""http://dbpedia.org/resource/College_football""]  [""http://dbpedia.org/resource/Score_(game)""]]";NW
13;yahoo-6;syracuse.com;"[[\http://dbpedia.org/resource/The_Post-Standard\""]]""";NW
14;yahoo-6;rochester democrat and chronicle;"[[\http://dbpedia.org/resource/Democrat_and_Chronicle\""]]""";RE
15;yahoo-6;onondaga community college;"[[\http://dbpedia.org/resource/Onondaga_Community_College\""]]""";NW
16;yahoo-6;american hockey league;"[[\http://dbpedia.org/resource/American_Hockey_League\""]]""";NW
17;yahoo-6;albany times union;"[[\http://dbpedia.org/resource/Times_Union_(Albany)\""]]""";NW
18;yahoo-6;minneapolis star tribune;"[[\http://dbpedia.org/resource/Star_Tribune\""]]""";RE
19;yahoo-6;southeast conference;"[[\http://dbpedia.org/resource/Southeastern_Conference\""]]""";NW
20;yahoo-6;atlantic coast conference;"[[\http://dbpedia.org/resource/Atlantic_Coast_Conference\""]]""";RE
21;yahoo-6;big east;"[[\http://dbpedia.org/resource/Big_East_Conference_(1979–2013)\""]]""";RE
