Session,Terms,Term_Criterion_Label,K1,K2,K3,K4
LearnWeb01,metaphor,K1,1,0,0,0
LearnWeb01,metaphors for learning,K2,0,1,0,0
LearnWeb01,metaphors for language teaching,K2,0,1,0,0
LearnWeb01,metaphors for language teaching,K2,0,1,0,0
LearnWeb01,mobile apps,K3,0,0,1,0
LearnWeb01,french,K4,0,0,0,1
LearnWeb01,dictionary,K4,0,0,0,1
LearnWeb01,dictionary,K1,1,0,0,0
LearnWeb01,dictionary,K1,1,0,0,0
LearnWeb01,french dictionary,K2,0,1,0,0
LearnWeb01,peer teaching,K3,0,0,1,0
LearnWeb01,blog,K4,0,0,0,1
LearnWeb01,tips for learn english,K3,0,0,1,0
LearnWeb01,games for learning english,K3,0,0,1,0
LearnWeb02,science,K4,0,0,0,1
LearnWeb02,science,K1,1,0,0,0
LearnWeb02,science museum london,K2,0,1,0,0
LearnWeb03,ottawa,K4,0,0,0,1
LearnWeb03,ottawa,K1,1,0,0,0
LearnWeb03,ottawa,K1,1,0,0,0
LearnWeb03,ottawa,K1,1,0,0,0
LearnWeb04,grammar,K4,0,0,0,1
LearnWeb04,grammar,K1,1,0,0,0
LearnWeb04,grammar,K1,1,0,0,0
LearnWeb04,grammar,K1,1,0,0,0
LearnWeb04,grammar,K1,1,0,0,0
LearnWeb04,grammar,K1,1,0,0,0
LearnWeb04,grammar,K1,1,0,0,0
LearnWeb04,grammar,K1,1,0,0,0
LearnWeb04,grammar,K1,1,0,0,0
LearnWeb04,ajedrez,K4,0,0,0,1
LearnWeb05,activities children,K3,0,0,1,0
LearnWeb05,activities children A1,K3,0,0,1,0
LearnWeb05,music,K4,0,0,0,1
LearnWeb06,children books,K3,0,0,1,0
LearnWeb06,children english books,K3,0,0,1,0
LearnWeb06,children english books,K3,0,0,1,0
LearnWeb07,loro,K4,0,0,0,1
LearnWeb07,loro,K1,1,0,0,0
LearnWeb07,loro,K1,1,0,0,0
LearnWeb07,Loro,K1,1,0,0,0
LearnWeb07,Loro,K1,1,0,0,0
LearnWeb07,test,K4,0,0,0,1
LearnWeb07,test,K1,1,0,0,0
LearnWeb08,human rights violations,K3,0,0,1,0
LearnWeb08,human rights,K3,0,0,1,0
LearnWeb08,human rights,K3,0,0,1,0
LearnWeb08,human rights,K3,0,0,1,0
LearnWeb08,tiger,K4,0,0,0,1
LearnWeb08,tiger,K1,1,0,0,0
LearnWeb08,BBC,K4,0,0,0,1
LearnWeb08,children,K4,0,0,0,1
